"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"C:\temp\netlogo-paper\model.nlogo"
"baseline_30y"
"02/20/2026 23:17:58:214 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","share-muslim-incoming","muslim-birth-rate","non-muslim-birth-rate","coverage-coefficient","agents-coming","agents-leaving","[step]","count turtles","count turtles with [religion = ""muslim""]","count turtles with [religion = ""non-muslim""]","ifelse-value (count turtles = 0) [0] [count turtles with [religion = ""muslim""] / count turtles]"
"10","0.52","2.81","1.56","1","3.36","1.66","13","647","84","563","0.12982998454404945"
"5","0.52","2.81","1.56","1","3.36","1.66","16","672","102","570","0.15178571428571427"
"3","0.52","2.81","1.56","1","3.36","1.66","20","656","78","578","0.11890243902439024"
"2","0.52","2.81","1.56","1","3.36","1.66","21","685","124","561","0.181021897810219"
"4","0.52","2.81","1.56","1","3.36","1.66","20","664","109","555","0.16415662650602408"
"6","0.52","2.81","1.56","1","3.36","1.66","15","663","71","592","0.10708898944193061"
"11","0.52","2.81","1.56","1","3.36","1.66","13","650","93","557","0.14307692307692307"
"12","0.52","2.81","1.56","1","3.36","1.66","17","689","104","585","0.1509433962264151"
"9","0.52","2.81","1.56","1","3.36","1.66","18","648","114","534","0.17592592592592593"
"1","0.52","2.81","1.56","1","3.36","1.66","21","671","98","573","0.14605067064083457"
"8","0.52","2.81","1.56","1","3.36","1.66","16","655","112","543","0.17099236641221374"
"10","0.52","2.81","1.56","1","3.36","1.66","14","650","86","564","0.13230769230769232"
"3","0.52","2.81","1.56","1","3.36","1.66","21","658","80","578","0.12158054711246201"
"5","0.52","2.81","1.56","1","3.36","1.66","17","672","102","570","0.15178571428571427"
"2","0.52","2.81","1.56","1","3.36","1.66","22","686","127","559","0.18513119533527697"
"7","0.52","2.81","1.56","1","3.36","1.66","12","680","74","606","0.10882352941176471"
"4","0.52","2.81","1.56","1","3.36","1.66","21","666","112","554","0.16816816816816818"
"9","0.52","2.81","1.56","1","3.36","1.66","19","649","116","533","0.17873651771956856"
"8","0.52","2.81","1.56","1","3.36","1.66","17","650","114","536","0.1753846153846154"
"1","0.52","2.81","1.56","1","3.36","1.66","22","671","102","569","0.15201192250372578"
