scenario,run,first_step_ge_0_5,first_step_ge_0_75,first_step_ge_0_95
no_migration_30y,132,,,
no_migration_30y,133,,,
no_migration_30y,134,,,
no_migration_30y,135,,,
no_migration_30y,136,,,
no_migration_30y,137,,,
no_migration_30y,138,,,
no_migration_30y,139,,,
no_migration_30y,140,,,
no_migration_30y,141,,,
no_migration_30y,142,,,
no_migration_30y,143,,,
no_migration_30y,144,,,
no_migration_30y,145,,,
no_migration_30y,146,,,
no_migration_30y,147,,,
no_migration_30y,148,,,
no_migration_30y,149,,,
no_migration_30y,150,,,
no_migration_30y,151,,,
no_migration_30y,152,,,
no_migration_30y,153,,,
no_migration_30y,154,,,
no_migration_30y,155,,,
no_migration_30y,156,,,
no_migration_30y,157,,,
no_migration_30y,158,,,
no_migration_30y,159,,,
no_migration_30y,160,,,
no_migration_30y,161,,,
no_migration_30y,162,,,
no_migration_30y,163,,,
no_migration_30y,164,,,
no_migration_30y,165,,,
no_migration_30y,166,,,
no_migration_30y,167,,,
no_migration_30y,168,,,
no_migration_30y,169,,,
no_migration_30y,170,,,
no_migration_30y,171,,,
no_migration_30y,172,,,
no_migration_30y,173,,,
no_migration_30y,174,,,
no_migration_30y,175,,,
no_migration_30y,176,,,
no_migration_30y,177,,,
no_migration_30y,178,,,
no_migration_30y,179,,,
no_migration_30y,180,,,
no_migration_30y,181,,,
no_migration_30y,182,,,
no_migration_30y,183,,,
no_migration_30y,184,,,
no_migration_30y,185,,,
no_migration_30y,186,,,
no_migration_30y,187,,,
no_migration_30y,188,,,
no_migration_30y,189,,,
no_migration_30y,190,,,
no_migration_30y,191,,,
no_migration_30y,192,,,
no_migration_30y,193,,,
no_migration_30y,194,,,
no_migration_30y,195,,,
no_migration_30y,196,,,
no_migration_30y,197,,,
no_migration_30y,198,,,
no_migration_30y,199,,,
no_migration_30y,200,,,
